Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-05-15,Boston Bruins,2,Washington Capitals,3,OT,5333,2:58,
2021-05-16,Tampa Bay Lightning,5,Florida Panthers,4,,9646,2:47,
2021-05-16,Minnesota Wild,1,Vegas Golden Knights,0,OT,8683,2:50,
2021-05-16,New York Islanders,4,Pittsburgh Penguins,3,OT,4672,3:09,
2021-05-17,Nashville Predators,2,Carolina Hurricanes,5,,12000,2:45,
2021-05-17,St. Louis Blues,1,Colorado Avalanche,4,,7741,2:34,
2021-05-17,Boston Bruins,4,Washington Capitals,3,OT,5333,2:53,
2021-05-18,Tampa Bay Lightning,3,Florida Panthers,1,,9646,2:32,
2021-05-18,New York Islanders,1,Pittsburgh Penguins,2,,9344,2:28,
2021-05-18,Minnesota Wild,1,Vegas Golden Knights,3,,8683,2:33,
2021-05-19,Winnipeg Jets,4,Edmonton Oilers,1,,,2:22,
2021-05-19,St. Louis Blues,3,Colorado Avalanche,6,,7739,2:29,
2021-05-19,Nashville Predators,0,Carolina Hurricanes,3,,12000,2:36,
2021-05-19,Washington Capitals,2,Boston Bruins,3,2OT,4565,3:54,
2021-05-20,Vegas Golden Knights,5,Minnesota Wild,2,,4500,2:30,
2021-05-20,Pittsburgh Penguins,5,New York Islanders,4,,6800,2:48,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-05-20,Florida Panthers,6,Tampa Bay Lightning,5,OT,9508,3:05,
2021-05-20,Montreal Canadiens,2,Toronto Maple Leafs,1,,,2:44,
2021-05-21,Washington Capitals,1,Boston Bruins,4,,4565,2:46,
2021-05-21,Winnipeg Jets,1,Edmonton Oilers,0,OT,,2:50,
2021-05-21,Carolina Hurricanes,4,Nashville Predators,5,2OT,12135,4:08,
2021-05-21,Colorado Avalanche,5,St. Louis Blues,1,,9000,2:30,
2021-05-22,Vegas Golden Knights,4,Minnesota Wild,0,,4500,2:24,
2021-05-22,Montreal Canadiens,1,Toronto Maple Leafs,5,,,2:33,
2021-05-22,Pittsburgh Penguins,1,New York Islanders,4,,6800,2:26,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-05-22,Florida Panthers,2,Tampa Bay Lightning,6,,9762,2:51,
2021-05-23,Carolina Hurricanes,3,Nashville Predators,4,2OT,12135,4:02,
2021-05-23,Colorado Avalanche,5,St. Louis Blues,2,,9000,2:30,
2021-05-23,Edmonton Oilers,4,Winnipeg Jets,5,OT,,2:52,
2021-05-23,Boston Bruins,3,Washington Capitals,1,,5333,2:33,
2021-05-24,New York Islanders,3,Pittsburgh Penguins,2,2OT,9344,3:23,
2021-05-24,Edmonton Oilers,3,Winnipeg Jets,4,3OT,,4:19,
2021-05-24,Minnesota Wild,4,Vegas Golden Knights,2,,12156,2:28,
2021-05-24,Toronto Maple Leafs,2,Montreal Canadiens,1,,,2:32,
2021-05-24,Tampa Bay Lightning,1,Florida Panthers,4,,11551,2:31,
2021-05-25,Nashville Predators,2,Carolina Hurricanes,3,OT,12000,3:04,
2021-05-25,Toronto Maple Leafs,4,Montreal Canadiens,0,,,2:25,
2021-05-26,Vegas Golden Knights,0,Minnesota Wild,3,,4500,2:39,
2021-05-26,Pittsburgh Penguins,3,New York Islanders,5,,9000,2:29,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-05-26,Florida Panthers,0,Tampa Bay Lightning,4,,10092,2:25,
2021-05-27,Carolina Hurricanes,4,Nashville Predators,3,OT,14107,2:45,
2021-05-27,Montreal Canadiens,4,Toronto Maple Leafs,3,OT,,2:43,
2021-05-28,Minnesota Wild,2,Vegas Golden Knights,6,,12156,2:37,
2021-05-29,Toronto Maple Leafs,2,Montreal Canadiens,3,OT,,3:07,
2021-05-29,New York Islanders,2,Boston Bruins,5,,17400,2:37,
2021-05-30,Tampa Bay Lightning,2,Carolina Hurricanes,1,,16299,2:32,
2021-05-30,Vegas Golden Knights,1,Colorado Avalanche,7,,10489,2:36,
2021-05-31,New York Islanders,4,Boston Bruins,3,OT,17400,3:16,
2021-05-31,Montreal Canadiens,3,Toronto Maple Leafs,1,,,2:21,
2021-06-01,Tampa Bay Lightning,2,Carolina Hurricanes,1,,16299,2:29,
2021-06-02,Vegas Golden Knights,2,Colorado Avalanche,3,OT,10491,2:58,
2021-06-02,Montreal Canadiens,5,Winnipeg Jets,3,,,2:32,
2021-06-03,Boston Bruins,2,New York Islanders,1,OT,12000,2:51,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-03,Carolina Hurricanes,3,Tampa Bay Lightning,2,OT,13544,2:50,
2021-06-04,Colorado Avalanche,2,Vegas Golden Knights,3,,17504,2:34,
2021-06-04,Montreal Canadiens,1,Winnipeg Jets,0,,,2:26,
2021-06-05,Boston Bruins,1,New York Islanders,4,,12000,2:41,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-05,Carolina Hurricanes,4,Tampa Bay Lightning,6,,13773,2:34,
2021-06-06,Winnipeg Jets,1,Montreal Canadiens,5,,2500,2:35,
2021-06-06,Colorado Avalanche,1,Vegas Golden Knights,5,,18081,2:29,
2021-06-07,New York Islanders,5,Boston Bruins,4,,17400,2:35,
2021-06-07,Winnipeg Jets,2,Montreal Canadiens,3,OT,2500,2:40,
2021-06-08,Tampa Bay Lightning,2,Carolina Hurricanes,0,,16299,2:23,
2021-06-08,Vegas Golden Knights,3,Colorado Avalanche,2,OT,10495,2:44,
2021-06-09,Boston Bruins,2,New York Islanders,6,,12000,2:20,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-10,Colorado Avalanche,3,Vegas Golden Knights,6,,18149,2:34,
2021-06-13,New York Islanders,2,Tampa Bay Lightning,1,,14513,2:19,
2021-06-14,Montreal Canadiens,1,Vegas Golden Knights,4,,17884,2:30,
2021-06-15,New York Islanders,2,Tampa Bay Lightning,4,,14771,2:36,
2021-06-16,Montreal Canadiens,3,Vegas Golden Knights,2,,17920,2:28,
2021-06-17,Tampa Bay Lightning,2,New York Islanders,1,,12978,2:25,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-18,Vegas Golden Knights,2,Montreal Canadiens,3,OT,3500,3:01,
2021-06-19,Tampa Bay Lightning,2,New York Islanders,3,,12978,2:35,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-20,Vegas Golden Knights,2,Montreal Canadiens,1,OT,3500,2:46,
2021-06-21,New York Islanders,0,Tampa Bay Lightning,8,,14791,2:39,
2021-06-22,Montreal Canadiens,4,Vegas Golden Knights,1,,17969,2:31,
2021-06-23,Tampa Bay Lightning,,New York Islanders,,,,,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-06-24,Vegas Golden Knights,,Montreal Canadiens,,,,,
2021-06-25,New York Islanders,,Tampa Bay Lightning,,,,,
2021-06-26,Montreal Canadiens,,Vegas Golden Knights,,,,,
